"instellingsnummer","instelling_naam_huidig","instelling_naam","instelling_naam_beknopt","instelling_naam_kort","soort_instelling","associatie"
103572,"Karel de Grote Hogeschool, Katholieke Hogeschool Antwerpen","Karel de Grote Hogeschool, Katholieke Hogeschool Antwerpen","Karel de Grote Hogeschool, Katholieke Hogeschool Antwerpen","Karel de Grote Hogeschool, Katholieke Hogeschool Antwerpen",Hogeschool,Associatie Universiteit en Hogescholen Antwerpen
103606,Erasmushogeschool Brussel,Erasmushogeschool Brussel,Erasmushogeschool Brussel,Erasmushogeschool Brussel,Hogeschool,Universitaire Associatie Brussel
103622,LUCA School of Arts,LUCA School of Arts,LUCA School of Arts,LUCA School of Arts,Hogeschool,Associatie Katholieke Universiteit Leuven
103663,Hogeschool Gent,Hogeschool Gent,Hogeschool Gent,Hogeschool Gent,Hogeschool,Associatie Universiteit Gent
103879,Hogere Zeevaartschool,Hogere Zeevaartschool,Hogere Zeevaartschool,Hogere Zeevaartschool,Hogeschool,Associatie Universiteit en Hogescholen Antwerpen
110114,Universiteit Gent,Universiteit Gent,UGent,UGent,Universiteit,Associatie Universiteit Gent
110131,Katholieke Universiteit Leuven,Katholieke Universiteit Leuven,KU Leuven,KUL,Universiteit,Associatie Katholieke Universiteit Leuven
110148,Vrije Universiteit Brussel,Vrije Universiteit Brussel,VUB,VUB,Universiteit,Universitaire Associatie Brussel
110189,Universiteit Hasselt,Universiteit Hasselt,UHasselt,UHasselt,Universiteit,Associatie Universiteit-Hogescholen Limburg
115791,Universiteit Antwerpen,Universiteit Antwerpen,UAntwerpen,UA,Universiteit,Associatie Universiteit en Hogescholen Antwerpen
116772,transnationale Universiteit Limburg,transnationale Universiteit Limburg,tUL,tUL,Universiteit,Associatie Universiteit-Hogescholen Limburg
129924,Hogeschool PXL,Hogeschool PXL,Hogeschool PXL,Hogeschool PXL,Hogeschool,Associatie Universiteit-Hogescholen Limburg
129941,Artesis Plantijn Hogeschool Antwerpen,Artesis Plantijn Hogeschool Antwerpen,Artesis Plantijn Hogeschool Antwerpen,Artesis Plantijn Hogeschool Antwerpen,Hogeschool,Associatie Universiteit en Hogescholen Antwerpen
