"academiejaar,""teldatum"",""instellingsnummer"",""instelling_naam_huidig"",""instelling_naam"",""soort_instelling"",""associatie"",""geslacht"",""geboortejaar"",""belg_nietbelg"",""eu_nieteu"",""leeftijd"",""leeftijdscategorie"",""type_opleiding"",""aard_opleiding"",""soort_contract"",""status_inschrijving"",""generatiestudent"",""studiegebied"",""opleidingsvarieteit_code"",""opleidingsvarieteit"",""onderwijstaal"",""is_lerarenopleiding"",""stem_opleiding"",""woonplaats_provincie_naam"",""woonplaats_huidige_fusiegemeente_naam"",""woonplaats_huidige_fusiegemeente_nis"",""vestiging_provincie_naam"",""vestiging"",""aantal_inschrijvingen"""
"2015-2016,""einde academiejaar"",""110148"",""Vrije Universiteit Brussel"",""Vrije Universiteit Brussel"",""Universiteit"",""Universitaire Associatie Brussel"",""Vrouwelijk"",""1993"",""Belg"",""EU"",""22"",""22"",""Master"",""Initiële opleidingen"",""Diplomacontract"",""Actief"",""Inschrijving van een niet-generatiestudent"",""Bewegings- en revalidatiewetenschappen"",""3028"",""revalidatiewetenschappen en de kinesitherapie"",""Nederlands"",""Is geen lerarenopleiding"",""Niet-STEM"",""West-Vlaanderen"",""Wevelgem"",""34041"",""Brussels Hoofdstedelijk Gewest"",""Elsene"",1.0"
"2015-2016,""einde academiejaar"",""110148"",""Vrije Universiteit Brussel"",""Vrije Universiteit Brussel"",""Universiteit"",""Universitaire Associatie Brussel"",""Vrouwelijk"",""1994"",""Belg"",""EU"",""21"",""21"",""Academisch gerichte bachelor"",""Initiële opleidingen"",""Diplomacontract"",""Actief"",""Inschrijving van een niet-generatiestudent"",""Psychologie en pedagogische wetenschappen"",""2056"",""agogische wetenschappen"",""Nederlands"",""Is geen lerarenopleiding"",""Niet-STEM"",""West-Vlaanderen"",""Wingene"",""37021"",""Brussels Hoofdstedelijk Gewest"",""Elsene"",1.0"
"2015-2016,""einde academiejaar"",""129941"",""Artesis Plantijn Hogeschool Antwerpen"",""Artesis Plantijn Hogeschool Antwerpen"",""Hogeschool"",""Associatie Universiteit en Hogescholen Antwerpen"",""Mannelijk"",""1997"",""Belg"",""EU"",""18"",""18"",""Academisch gerichte bachelor"",""Initiële opleidingen"",""Diplomacontract"",""Actief"",""Inschrijving van een generatiestudent"",""Audiovisuele en beeldende kunst"",""2337"",""beeldende kunsten"",""Nederlands"",""Is geen lerarenopleiding"",""Niet-STEM"",""Brussels Hoofdstedelijk Gewest"",""Ukkel"",""21016"",""Antwerpen"",""Antwerpen"",1.0"
"2015-2016,""einde academiejaar"",""115791"",""Universiteit Antwerpen"",""Universiteit Antwerpen"",""Universiteit"",""Associatie Universiteit en Hogescholen Antwerpen"",""Mannelijk"",""1997"",""Belg"",""EU"",""18"",""18"",""Academisch gerichte bachelor"",""Initiële opleidingen"",""Diplomacontract"",""Actief"",""Inschrijving van een generatiestudent"",""Wetenschappen"",""1901"",""fysica"",""Nederlands"",""Is geen lerarenopleiding"",""STEM"",""Antwerpen"",""Wommelgem"",""11052"",""Antwerpen"",""Antwerpen"",1.0"
"2015-2016,""einde academiejaar"",""110114"",""Universiteit Gent"",""Universiteit Gent"",""Universiteit"",""Associatie Universiteit Gent"",""Mannelijk"",""1995"",""Belg"",""EU"",""20"",""20"",""Academisch gerichte bachelor"",""Initiële opleidingen"",""Diplomacontract"",""Actief"",""Inschrijving van een niet-generatiestudent"",""Toegepaste wetenschappen"",""2145"",""ingenieurswetenschappen: chemische technologie en materiaalkunde"",""Nederlands"",""Is geen lerarenopleiding"",""STEM"",""West-Vlaanderen"",""Lichtervelde"",""36011"",""Oost-Vlaanderen"",""Gent"",1.0"
"2015-2016,""einde academiejaar"",""110131"",""Katholieke Universiteit Leuven"",""Katholieke Universiteit Leuven"",""Universiteit"",""Associatie Katholieke Universiteit Leuven"",""Vrouwelijk"",""1995"",""Belg"",""EU"",""20"",""20"",""Academisch gerichte bachelor"",""Initiële opleidingen"",""Diplomacontract"",""Actief"",""Inschrijving van een niet-generatiestudent"",""Psychologie en pedagogische wetenschappen"",""2058"",""pedagogische wetenschappen"",""Nederlands"",""Is geen lerarenopleiding"",""Niet-STEM"",""Limburg"",""Hechtel-Eksel"",""72038"",""Vlaams-Brabant"",""Leuven"",1.0"
"2015-2016,""einde academiejaar"",""129941"",""Artesis Plantijn Hogeschool Antwerpen"",""Artesis Plantijn Hogeschool Antwerpen"",""Hogeschool"",""Associatie Universiteit en Hogescholen Antwerpen"",""Mannelijk"",""1993"",""Belg"",""EU"",""22"",""22"",""Professioneel gerichte bachelor"",""Initiële opleidingen"",""Diplomacontract"",""Actief"",""Inschrijving van een niet-generatiestudent"",""Handelswetenschappen en bedrijfskunde"",""2551"",""toegepaste informatica"",""Nederlands"",""Is geen lerarenopleiding"",""STEM"",""Antwerpen"",""Duffel"",""12009"",""Antwerpen"",""Antwerpen"",1.0"
"2015-2016,""einde academiejaar"",""110131"",""Katholieke Universiteit Leuven"",""Katholieke Universiteit Leuven"",""Universiteit"",""Associatie Katholieke Universiteit Leuven"",""Vrouwelijk"",""1994"",""Belg"",""EU"",""21"",""21"",""Master"",""Initiële opleidingen"",""Diplomacontract"",""Actief"",""Inschrijving van een niet-generatiestudent"",""Bewegings- en revalidatiewetenschappen"",""3027"",""revalidatiewetenschappen en de kinesitherapie"",""Nederlands"",""Is geen lerarenopleiding"",""Niet-STEM"",""Vlaams-Brabant"",""Kapelle-op-den-Bos"",""23039"",""Vlaams-Brabant"",""Leuven"",1.0"
"2015-2016,""einde academiejaar"",""115791"",""Universiteit Antwerpen"",""Universiteit Antwerpen"",""Universiteit"",""Associatie Universiteit en Hogescholen Antwerpen"",""Vrouwelijk"",""1996"",""Belg"",""EU"",""19"",""19"",""Academisch gerichte bachelor"",""Initiële opleidingen"",""Diplomacontract"",""Actief"",""Inschrijving van een niet-generatiestudent"",""Conservatie-restauratie"",""3441"",""conservatie-restauratie"",""Nederlands"",""Is geen lerarenopleiding"",""Niet-STEM"",""Vlaams-Brabant"",""Haacht"",""24033"",""Antwerpen"",""Antwerpen"",1.0"
"2015-2016,""einde academiejaar"",""103804"",""Odisee"",""Odisee"",""Hogeschool"",""Associatie Katholieke Universiteit Leuven"",""Mannelijk"",""1994"",""Belg"",""EU"",""21"",""21"",""Professioneel gerichte bachelor"",""Initiële opleidingen"",""Diplomacontract"",""Actief"",""Inschrijving van een niet-generatiestudent"",""Industriële wetenschappen en technologie"",""3297"",""energietechnologie"",""Nederlands"",""Is geen lerarenopleiding"",""STEM"",""Oost-Vlaanderen"",""Zelzate"",""43018"",""Oost-Vlaanderen"",""Gent"",1.0"
