"academiejaar,""instellingsnummer"",""instelling_naam_huidig"",""instelling_naam"",""soort_instelling"",""associatie"",""geslacht"",""geboortejaar"",""belg_nietbelg"",""eu_nieteu"",""leeftijd"",""leeftijdscategorie"",""type_opleiding"",""aard_opleiding"",""type_studiebewijs"",""studiegebied"",""opleidingsvarieteit_code"",""opleidingsvarieteit"",""onderwijstaal"",""is_lerarenopleiding"",""stem_opleiding"",""woonplaats_provincie_naam"",""vestiging_provincie_naam"",""vestiging"",""aantal_studiebewijzen"""
"2015-2016,""115791"",""Universiteit Antwerpen"",""Universiteit Antwerpen"",""Universiteit"",""Associatie Universiteit en Hogescholen Antwerpen"",""Vrouwelijk"",""1992"",""Belg"",""EU"",""23"",""23"",""Master"",""Initiële opleidingen"",""Diploma"",""Architectuur - Industriële wetenschappen en technologie"",""3446"",""monumenten- en landschapszorg"",""Nederlands"",""Is geen lerarenopleiding"",""STEM"",""Vlaams-Brabant"",""Antwerpen"",""Antwerpen"",1.0"
"2015-2016,""110131"",""Katholieke Universiteit Leuven"",""Katholieke Universiteit Leuven"",""Universiteit"",""Associatie Katholieke Universiteit Leuven"",""Vrouwelijk"",""1990"",""niet-Belg"",""EU"",""25"",""25"",""Master"",""Initiële opleidingen"",""Diploma"",""Handelswetenschappen en bedrijfskunde"",""3489"",""Business Administration"",""Engels"",""Is geen lerarenopleiding"",""Niet-STEM"",""Brussels Hoofdstedelijk Gewest"",""Brussels Hoofdstedelijk Gewest"",""Brussel"",1.0"
"2015-2016,""110148"",""Vrije Universiteit Brussel"",""Vrije Universiteit Brussel"",""Universiteit"",""Universitaire Associatie Brussel"",""Mannelijk"",""1990"",""Belg"",""EU"",""25"",""25"",""Academisch gerichte bachelor"",""Initiële opleidingen"",""Diploma"",""Psychologie en pedagogische wetenschappen"",""2061"",""psychologie"",""Nederlands"",""Is geen lerarenopleiding"",""Niet-STEM"",""Vlaams-Brabant"",""Brussels Hoofdstedelijk Gewest"",""Elsene"",2.0"
"2015-2016,""110131"",""Katholieke Universiteit Leuven"",""Katholieke Universiteit Leuven"",""Universiteit"",""Associatie Katholieke Universiteit Leuven"",""Vrouwelijk"",""1994"",""Belg"",""EU"",""21"",""21"",""Academisch gerichte bachelor"",""Initiële opleidingen"",""Diploma"",""Sociale gezondheidswetenschappen"",""2087"",""logopedische en audiologische wetenschappen"",""Nederlands"",""Is geen lerarenopleiding"",""Niet-STEM"",""Provincie in Waals Gewest"",""Vlaams-Brabant"",""Leuven"",1.0"
"2015-2016,""110148"",""Vrije Universiteit Brussel"",""Vrije Universiteit Brussel"",""Universiteit"",""Universitaire Associatie Brussel"",""Vrouwelijk"",""1992"",""Belg"",""EU"",""23"",""23"",""Master"",""Initiële opleidingen"",""Diploma"",""Farmaceutische wetenschappen"",""2959"",""farmaceutische zorg"",""Nederlands"",""Is geen lerarenopleiding"",""Niet-STEM"",""Vlaams-Brabant"",""Brussels Hoofdstedelijk Gewest"",""Elsene"",1.0"
"2015-2016,""110114"",""Universiteit Gent"",""Universiteit Gent"",""Universiteit"",""Associatie Universiteit Gent"",""Mannelijk"",""1956"",""Belg"",""EU"",""59"",""31-60"",""Academisch gerichte bachelor"",""Initiële opleidingen"",""Diploma"",""Geschiedenis"",""2037"",""geschiedenis"",""Nederlands"",""Is geen lerarenopleiding"",""Niet-STEM"",""West-Vlaanderen"",""Oost-Vlaanderen"",""Gent"",1.0"
"2015-2016,""103581"",""Thomas More Kempen"",""Thomas More Kempen"",""Hogeschool"",""Associatie Katholieke Universiteit Leuven"",""Vrouwelijk"",""1993"",""Belg"",""EU"",""22"",""22"",""Professioneel gerichte bachelor"",""Initiële opleidingen"",""Diploma"",""Industriële wetenschappen en technologie"",""2671"",""logistiek"",""Nederlands"",""Is geen lerarenopleiding"",""Niet-STEM"",""Limburg"",""Antwerpen"",""Geel"",1.0"
"2015-2016,""110148"",""Vrije Universiteit Brussel"",""Vrije Universiteit Brussel"",""Universiteit"",""Universitaire Associatie Brussel"",""Vrouwelijk"",""1989"",""Belg"",""EU"",""26"",""26-30"",""Voorbereidingsprogramma"",""Voortgezette opleidingen"",""Getuigschrift"",""Archeologie en kunstwetenschappen"",""6071"",""voorbereidingsprogramma"",""Onbekend"",""Is geen lerarenopleiding"",""Onbekend"",""Antwerpen"",""Brussels Hoofdstedelijk Gewest"",""Elsene"",1.0"
"2015-2016,""116772"",""transnationale Universiteit Limburg"",""transnationale Universiteit Limburg"",""Universiteit"",""Associatie Universiteit-Hogescholen Limburg"",""Vrouwelijk"",""1991"",""Belg"",""EU"",""24"",""24"",""Academisch gerichte bachelor"",""Initiële opleidingen"",""Diploma"",""Rechten, notariaat en criminologische wetenschappen"",""9046"",""rechten"",""Nederlands"",""Is geen lerarenopleiding"",""Niet-STEM"",""Limburg"",""Limburg"",""Diepenbeek"",2.0"
"2015-2016,""110131"",""Katholieke Universiteit Leuven"",""Katholieke Universiteit Leuven"",""Universiteit"",""Associatie Katholieke Universiteit Leuven"",""Mannelijk"",""1989"",""niet-Belg"",""niet-EU"",""26"",""26-30"",""Master"",""Initiële opleidingen"",""Diploma"",""Archeologie en kunstwetenschappen"",""3005"",""archeologie"",""Nederlands"",""Is geen lerarenopleiding"",""Niet-STEM"",""Vlaams-Brabant"",""Vlaams-Brabant"",""Leuven"",1.0"
